"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_001MA","B28011_001EA","B28011_002E","B28011_002M","B28011_002MA","B28011_002EA","B28011_003E","B28011_003EA","B28011_003M","B28011_003MA","B28011_004E","B28011_004EA","B28011_004M","B28011_004MA","B28011_005E","B28011_005M","B28011_005MA","B28011_005EA","B28011_006E","B28011_006M","B28011_006MA","B28011_006EA","B28011_007E","B28011_007EA","B28011_007M","B28011_007MA","B28011_008E","B28011_008EA","B28011_008M","B28011_008MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Annotation of Margin of Error!!Total!!With an Internet subscription","Annotation of Estimate!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Estimate!!Total!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Other service","Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Estimate!!Total!!With an Internet subscription!!Other service","Estimate!!Total!!Internet access without a subscription","Annotation of Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Annotation of Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Annotation of Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access","Annotation of Margin of Error!!Total!!No Internet access",
"1500000US060750101001","Block Group 1, Census Tract 101, San Francisco County, California","536","91","null","null","492","93","null","null","0","null","12","null","480","null","92","null","15","24","null","null","0","12","null","null","0","null","12","null","44","null","44","null",
"1500000US060750101002","Block Group 2, Census Tract 101, San Francisco County, California","1499","133","null","null","1124","149","null","null","0","null","12","null","1048","null","146","null","0","12","null","null","13","21","null","null","24","null","37","null","351","null","124","null",
"1500000US060750102001","Block Group 1, Census Tract 102, San Francisco County, California","798","161","null","null","756","157","null","null","0","null","12","null","718","null","160","null","7","13","null","null","0","12","null","null","42","null","67","null","0","null","12","null",
"1500000US060750102002","Block Group 2, Census Tract 102, San Francisco County, California","1125","139","null","null","971","134","null","null","0","null","12","null","891","null","139","null","19","29","null","null","0","12","null","null","76","null","75","null","78","null","66","null",
"1500000US060750102003","Block Group 3, Census Tract 102, San Francisco County, California","581","158","null","null","480","134","null","null","0","null","12","null","470","null","134","null","17","20","null","null","0","12","null","null","70","null","97","null","31","null","33","null",
"1500000US060750103001","Block Group 1, Census Tract 103, San Francisco County, California","926","151","null","null","867","156","null","null","0","null","12","null","832","null","161","null","37","43","null","null","0","12","null","null","9","null","14","null","50","null","44","null",
"1500000US060750103002","Block Group 2, Census Tract 103, San Francisco County, California","453","93","null","null","402","91","null","null","0","null","12","null","389","null","92","null","30","33","null","null","0","12","null","null","36","null","40","null","15","null","24","null",
"1500000US060750103003","Block Group 3, Census Tract 103, San Francisco County, California","643","130","null","null","507","113","null","null","0","null","12","null","482","null","116","null","23","28","null","null","0","12","null","null","0","null","12","null","136","null","98","null",
"1500000US060750104001","Block Group 1, Census Tract 104, San Francisco County, California","150","66","null","null","116","65","null","null","0","null","12","null","112","null","65","null","0","12","null","null","0","12","null","null","0","null","12","null","34","null","39","null",
"1500000US060750104002","Block Group 2, Census Tract 104, San Francisco County, California","907","160","null","null","809","164","null","null","16","null","26","null","758","null","162","null","0","12","null","null","0","12","null","null","0","null","12","null","98","null","57","null",
"1500000US060750104003","Block Group 3, Census Tract 104, San Francisco County, California","892","158","null","null","860","163","null","null","0","null","12","null","737","null","159","null","43","54","null","null","0","12","null","null","15","null","24","null","17","null","26","null",
"1500000US060750104004","Block Group 4, Census Tract 104, San Francisco County, California","474","147","null","null","377","148","null","null","0","null","12","null","343","null","148","null","25","22","null","null","0","12","null","null","45","null","44","null","52","null","48","null",
"1500000US060750105001","Block Group 1, Census Tract 105, San Francisco County, California","432","101","null","null","344","73","null","null","0","null","12","null","278","null","73","null","12","18","null","null","0","12","null","null","10","null","16","null","78","null","76","null",
"1500000US060750105002","Block Group 2, Census Tract 105, San Francisco County, California","1145","120","null","null","1028","130","null","null","0","null","12","null","957","null","128","null","23","24","null","null","0","12","null","null","41","null","42","null","76","null","46","null",
"1500000US060750106001","Block Group 1, Census Tract 106, San Francisco County, California","634","111","null","null","536","95","null","null","0","null","12","null","521","null","94","null","17","19","null","null","8","13","null","null","18","null","18","null","80","null","57","null",
"1500000US060750106002","Block Group 2, Census Tract 106, San Francisco County, California","585","110","null","null","325","86","null","null","0","null","12","null","305","null","86","null","6","12","null","null","0","12","null","null","33","null","38","null","227","null","89","null",
"1500000US060750106003","Block Group 3, Census Tract 106, San Francisco County, California","611","108","null","null","307","72","null","null","0","null","12","null","285","null","73","null","6","9","null","null","0","12","null","null","24","null","23","null","280","null","101","null",
"1500000US060750107001","Block Group 1, Census Tract 107, San Francisco County, California","427","103","null","null","400","105","null","null","0","null","12","null","400","null","105","null","0","12","null","null","0","12","null","null","0","null","12","null","27","null","31","null",
"1500000US060750107002","Block Group 2, Census Tract 107, San Francisco County, California","586","131","null","null","327","97","null","null","0","null","12","null","262","null","95","null","47","42","null","null","0","12","null","null","16","null","26","null","243","null","107","null",
"1500000US060750107003","Block Group 3, Census Tract 107, San Francisco County, California","821","147","null","null","458","116","null","null","0","null","12","null","390","null","108","null","15","24","null","null","0","12","null","null","18","null","28","null","345","null","140","null",
"1500000US060750107004","Block Group 4, Census Tract 107, San Francisco County, California","582","132","null","null","280","123","null","null","0","null","12","null","271","null","122","null","0","12","null","null","0","12","null","null","0","null","12","null","302","null","103","null",
"1500000US060750108001","Block Group 1, Census Tract 108, San Francisco County, California","585","129","null","null","529","130","null","null","0","null","12","null","459","null","127","null","87","92","null","null","0","12","null","null","0","null","12","null","56","null","54","null",
"1500000US060750108002","Block Group 2, Census Tract 108, San Francisco County, California","799","166","null","null","587","145","null","null","0","null","12","null","587","null","145","null","0","12","null","null","0","12","null","null","51","null","49","null","161","null","110","null",
"1500000US060750108003","Block Group 3, Census Tract 108, San Francisco County, California","1163","179","null","null","1072","181","null","null","0","null","12","null","931","null","171","null","31","34","null","null","26","34","null","null","0","null","12","null","91","null","59","null",
"1500000US060750109001","Block Group 1, Census Tract 109, San Francisco County, California","504","106","null","null","401","103","null","null","0","null","12","null","387","null","102","null","19","30","null","null","0","12","null","null","21","null","34","null","82","null","69","null",
"1500000US060750109002","Block Group 2, Census Tract 109, San Francisco County, California","1171","123","null","null","1053","141","null","null","21","null","33","null","996","null","148","null","21","39","null","null","17","26","null","null","14","null","23","null","104","null","92","null",
"1500000US060750109003","Block Group 3, Census Tract 109, San Francisco County, California","997","165","null","null","763","132","null","null","0","null","12","null","691","null","141","null","20","32","null","null","18","31","null","null","52","null","74","null","182","null","122","null",
"1500000US060750110001","Block Group 1, Census Tract 110, San Francisco County, California","363","105","null","null","319","112","null","null","0","null","12","null","295","null","108","null","0","12","null","null","0","12","null","null","0","null","12","null","44","null","57","null",
"1500000US060750110002","Block Group 2, Census Tract 110, San Francisco County, California","1076","182","null","null","932","168","null","null","0","null","12","null","855","null","155","null","41","50","null","null","19","31","null","null","41","null","61","null","103","null","114","null",
"1500000US060750110003","Block Group 3, Census Tract 110, San Francisco County, California","1080","158","null","null","786","148","null","null","0","null","12","null","691","null","158","null","84","81","null","null","0","12","null","null","38","null","61","null","256","null","113","null",
"1500000US060750111001","Block Group 1, Census Tract 111, San Francisco County, California","1058","177","null","null","977","179","null","null","0","null","12","null","875","null","177","null","38","43","null","null","42","38","null","null","33","null","42","null","48","null","76","null",
"1500000US060750111002","Block Group 2, Census Tract 111, San Francisco County, California","1203","165","null","null","975","138","null","null","13","null","21","null","859","null","136","null","68","50","null","null","0","12","null","null","27","null","33","null","201","null","143","null",
"1500000US060750111003","Block Group 3, Census Tract 111, San Francisco County, California","805","181","null","null","473","129","null","null","0","null","12","null","463","null","131","null","34","41","null","null","0","12","null","null","15","null","23","null","317","null","168","null",
"1500000US060750112001","Block Group 1, Census Tract 112, San Francisco County, California","868","107","null","null","654","103","null","null","0","null","12","null","626","null","106","null","21","23","null","null","8","13","null","null","12","null","18","null","202","null","74","null",
"1500000US060750112002","Block Group 2, Census Tract 112, San Francisco County, California","731","100","null","null","655","100","null","null","0","null","12","null","636","null","98","null","19","21","null","null","0","12","null","null","36","null","23","null","40","null","50","null",
"1500000US060750112003","Block Group 3, Census Tract 112, San Francisco County, California","321","78","null","null","251","59","null","null","28","null","44","null","199","null","54","null","0","12","null","null","0","12","null","null","35","null","44","null","35","null","45","null",
"1500000US060750113001","Block Group 1, Census Tract 113, San Francisco County, California","592","89","null","null","388","76","null","null","0","null","12","null","350","null","73","null","0","12","null","null","12","20","null","null","9","null","15","null","195","null","83","null",
"1500000US060750113002","Block Group 2, Census Tract 113, San Francisco County, California","932","127","null","null","465","108","null","null","11","null","19","null","413","null","106","null","10","16","null","null","0","12","null","null","52","null","63","null","415","null","111","null",
"1500000US060750117001","Block Group 1, Census Tract 117, San Francisco County, California","472","81","null","null","331","66","null","null","0","null","12","null","277","null","70","null","16","18","null","null","9","14","null","null","5","null","8","null","136","null","45","null",
"1500000US060750117002","Block Group 2, Census Tract 117, San Francisco County, California","549","110","null","null","324","78","null","null","0","null","12","null","273","null","83","null","37","38","null","null","0","12","null","null","74","null","53","null","151","null","71","null",
"1500000US060750118001","Block Group 1, Census Tract 118, San Francisco County, California","713","54","null","null","427","65","null","null","7","null","10","null","315","null","67","null","19","14","null","null","6","9","null","null","6","null","9","null","280","null","63","null",
"1500000US060750119011","Block Group 1, Census Tract 119.01, San Francisco County, California","696","108","null","null","619","107","null","null","0","null","12","null","576","null","108","null","42","24","null","null","0","12","null","null","0","null","12","null","77","null","69","null",
"1500000US060750119012","Block Group 2, Census Tract 119.01, San Francisco County, California","819","102","null","null","715","101","null","null","0","null","12","null","655","null","97","null","9","14","null","null","6","9","null","null","17","null","18","null","87","null","50","null",
