"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Total!!Margin of Error","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Male!!Margin of Error","San Francisco County, California!!Female!!Estimate","San Francisco County, California!!Female!!Margin of Error"
"Total population","829,072","*****","421,516","±128","407,556","±128"
"AGE","","","","","",""
"    Under 5 years","4.5%","±0.1","4.6%","±0.1","4.5%","±0.1"
"    5 to 9 years","3.6%","±0.1","3.6%","±0.1","3.6%","±0.2"
"    10 to 14 years","3.2%","±0.1","3.2%","±0.1","3.3%","±0.2"
"    15 to 19 years","3.9%","±0.1","3.7%","±0.1","4.2%","±0.1"
"    20 to 24 years","6.6%","±0.1","6.4%","±0.1","6.8%","±0.1"
"    25 to 29 years","11.3%","±0.1","11.3%","±0.1","11.4%","±0.1"
"    30 to 34 years","10.5%","±0.1","10.8%","±0.1","10.3%","±0.1"
"    35 to 39 years","8.5%","±0.2","9.0%","±0.3","8.0%","±0.2"
"    40 to 44 years","7.8%","±0.2","8.4%","±0.3","7.3%","±0.2"
"    45 to 49 years","7.1%","±0.1","7.7%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.6%","±0.1","7.1%","±0.1","6.2%","±0.1"
"    55 to 59 years","6.1%","±0.2","6.2%","±0.2","5.9%","±0.2"
"    60 to 64 years","6.1%","±0.2","6.0%","±0.2","6.2%","±0.2"
"    65 to 69 years","4.1%","±0.1","3.8%","±0.1","4.4%","±0.1"
"    70 to 74 years","3.1%","±0.1","2.9%","±0.1","3.3%","±0.1"
"    75 to 79 years","2.6%","±0.1","2.3%","±0.1","2.8%","±0.2"
"    80 to 84 years","2.0%","±0.1","1.6%","±0.1","2.4%","±0.2"
"    85 years and over","2.3%","±0.1","1.5%","±0.1","3.0%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","6.9%","±0.1","6.8%","±0.1","6.9%","±0.1"
"    15 to 17 years","2.0%","±0.1","2.1%","±0.1","2.0%","±0.1"
"    18 to 24 years","8.5%","±0.1","8.1%","±0.1","9.0%","±0.1"
"    15 to 44 years","48.7%","±0.1","49.5%","±0.1","48.0%","±0.1"
"    16 years and over","88.0%","±0.1","87.9%","±0.1","88.0%","±0.1"
"    18 years and over","86.6%","*****","86.5%","±0.1","86.6%","±0.1"
"    60 years and over","20.1%","±0.2","18.2%","±0.2","22.2%","±0.2"
"    62 years and over","17.6%","±0.1","15.6%","±0.2","19.6%","±0.2"
"    65 years and over","14.0%","±0.1","12.1%","±0.1","15.9%","±0.1"
"    75 years and over","6.8%","±0.1","5.4%","±0.1","8.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.6","±0.1","38.6","±0.2","38.6","±0.2"
"    Sex ratio (males per 100 females)","103.4","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","37.8","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","19.3","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","18.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.0%","(X)","(X)","(X)","(X)","(X)"
