"","Census.Blockgroup","Children","Elderly","NonWhite","Poverty","Education","English","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingViolations","Homeless","LivAlone","FloodHealthIndex","FloodHealthIndex_Quintiles"
"1",60759809001,0.072957122,8.04e-10,0.599175,0.356678376,0.996079927,0.150558628,-6,0.182261,0.035771,0.220584,0.3652,0.151339,0.133608319,0.0141093,0.0175025,0.480591116,84.819,5
"2",60750201001,0.079893002,0.124000003,0.651,0.50970601,0.724000036,0.232000002,7.83292,0,0.0205164,0.160115,0.620535,0.105741,0.238000005,0.0102406,0.0158921,0.522000022,83.486,5
"3",60750117001,0.027149001,0.103000001,0.697,0.378595003,0.862000015,0.171000001,-1.99906,0.106609,0.00532113,0.014068,0.985924,0.008008,0.187000001,0.0395622,0.0049374,0.635000007,83.4791,5
"4",60750178021,0.084215,0.088,0.584,0.327362,0.843,0.119,-5.96629,0.0645794,0.0241664,0.149856,0.540699,0.095802,0.229,0.00704366,0.0192683,0.427,82.4925,5
"5",60750125012,0.09533151,0.221999068,0.726001,0.79475029,0.69499739,0.202999258,7.13278,0,0.00410501,0.155,0.637499,0.129672,0.424997971,0.0137255,0.0146184,0.73199689,81.8061,5
"6",60750176011,0.109834,0.141,0.733,0.550862,0.806,0.117,10.6969,0,0.00862461,0.160094,0.620594,0.105831,0.227,0.17094,0.0192683,0.609,81.7994,5
"7",60750201003,0.079893,0.124,0.651,0.509706,0.724,0.232,5.81684,0,0.028468,0.159985,0.618836,0.105438,0.238,0.00968738,0.0032195,0.522,81.506,5
"8",60750101001,0.057516658,0.19751667,0.557799,0.327556339,0.87850698,0.18474196,-7.52577,0.228203,0.00314665,0.051173,0.223352,0.040437,0.12971244,0.00454545,0.0048488,0.51688442,81.1858,5
"9",60750232002,0.255127661,0.100990574,0.943005,0.427604838,0.709933071,0.091991233,-6,0.102409,0.0151036,0.231903,0.385638,0.161088,0.107989804,0.0062182,0.017613,0.265974876,80.8657,5
"10",60750201002,0.079893085,0.124000121,0.650999,0.509706339,0.724000928,0.232000082,13.9179,0,0.0137591,0.160125,0.6205,0.105693,0.238000184,0.0115778,0.0032195,0.522000531,80.8327,5
"11",60750124012,0.11706,0.096,0.781,0.755098,0.683,0.288,46.1449,0,0.00636154,0.129919,0.527672,0.099502,0.223,0.013036,0.0192683,0.551,80.8061,5
"12",60750178012,0.018917,0.554,0.741,0.577931,0.64,0.535,-4.2587,0.0691119,0.00908376,0.099,0.1455,0.046817,0.452,0.000462321,0.0192683,0.678,80.5259,5
"13",60750612001,0.207265009,0.105,0.917,0.503776043,0.636000119,0.220000018,0.851755,0.000183621,0.00701462,0.232,0.3858,0.161156,0.090000016,0.00845712,0.017613,0.264000057,80.1859,5
"14",60750180001,0.04230103,0.050000196,0.602,0.299615246,0.864000461,0.04800021,-5.3631,0.348208,0.0347239,0.099,0.145501,0.046817,0.134000159,0.00303306,0.0192683,0.571000317,80.179,5
"15",60750125021,0.043981,0.25,0.868,0.725127,0.57,0.419,35.2041,0,0.00600325,0.154995,0.637475,0.129667,0.327,0.00670196,0.0192683,0.673,79.8128,5
"16",60750176015,0.109834,0.141,0.733,0.550862,0.806,0.117,10.0642,0,0.00402495,0.160068,0.620689,0.105959,0.227,0.00698324,0.0192683,0.609,79.1461,5
"17",60750177002,0.084039012,0.09700002,0.565,0.326481075,0.783000158,0.085000024,3.85416,0,0.155139,0.156917,0.582542,0.099887,0.158000035,0.0186841,0.0102643,0.451000115,78.8193,5
"18",60750124011,0.11706,0.096,0.781,0.755098,0.683,0.288,55.3915,0,0.00724379,0.129732,0.526854,0.099277,0.223,0.00862999,0.0192683,0.551,78.8128,5
"19",60750234001,0.300350376,0.115999764,0.964,0.629357302,0.694998904,0.155999604,-0.903518,0.0177518,0.0102606,0.232,0.3858,0.161156,0.14899963,0.00851257,0.017613,0.168999886,78.1992,5
"20",60750177001,0.084039089,0.097000051,0.565,0.326481246,0.783000706,0.085000052,2.04311,0,0.0361009,0.15677,0.580795,0.09961,0.158000076,0.00986611,0.013468,0.45100034,78.1593,5
"21",60750180002,0.042301035,0.049999984,0.602,0.299614576,0.863999109,0.048000094,-5.63326,0.0825639,0.0500197,0.159986,0.619417,0.105559,0.133999778,0.00226347,0.0192683,0.570999012,77.8525,5
"22",60750230011,0.158266108,0.179000039,0.946,0.496577361,0.619000855,0.235000154,5.01168,0,0.0310967,0.231528,0.384944,0.160818,0.107000111,0.00486381,0.0175492,0.167000361,77.2193,5
"23",60750161001,0.121086637,0.26999919,0.747001,0.631202106,0.815997552,0.330999007,60.1828,0,0.0207141,0.154969,0.637362,0.129636,0.232999301,0.00372671,0.0037988,0.518998443,76.5394,5
"24",60750234002,0.300343903,0.11599726,0.964001,0.629343956,0.694983701,0.155996313,-5.60678,0.0802676,0.010397,0.231982,0.38577,0.161143,0.148996456,0.00539127,0.017613,0.168996027,76.2192,5
"25",60750611003,0.135919359,0.28800288,0.958,0.800365004,0.36300363,0.71500715,21.2992,0,0.00953898,0.064,0.20214,0.050322,0.16100161,0.00537634,0.0049374,0.44300443,75.8527,5
"26",60750201004,0.079892839,0.123999713,0.651,0.509704649,0.723998656,0.231999301,13.3651,0,0.00203913,0.145435,0.446513,0.079031,0.237999333,0.0106317,0.0032195,0.521998794,75.4995,5
"27",60750208001,0.088483,0.102,0.695,0.42737,0.716,0.19,13.4626,0,0.0420492,0.139,0.3703,0.067351,0.111,0.00468823,0.0032195,0.402,74.546,5
"28",60750161003,0.121087,0.27,0.747,0.631204,0.816,0.331,76.5,0,0.0701956,0.12109,0.232106,0.054658,0.233,0.00338696,0.0037988,0.519,74.5394,5
"29",60750176013,0.109834004,0.141000009,0.733,0.550862032,0.806000028,0.117000008,13.3595,0,0.000784223,0.160081,0.620643,0.105897,0.227000017,0.0100975,0.0192683,0.609000029,74.4729,5
"30",60750161002,0.121087,0.27,0.747,0.631204,0.816,0.331,73,0,0.0285327,0.110276,0.350448,0.075797,0.233,0.00213129,0.0037988,0.519,74.2194,5
